SKU,Product name,Handle,Barcode,Variant,# sharing SKU,Last Updated
S0226011NAV1X/2X,Safari by Vivo Jacket in Denim - Navy,safari-by-vivo-jacket-in-denim-navy,60067238,NAVY / S0226011 / 1X/2X,2,2026-08-20 12:08
S0226011NAV1X/2X,Safari by Vivo Jacket in Denim MG - Navy,safari-by-vivo-jacket-in-denim-mg-navy,60071438,NAVY / S0226011 / 1X/2X,2,2026-08-20 12:08
S0226011NAVM/L,Safari by Vivo Jacket in Denim - Navy,safari-by-vivo-jacket-in-denim-navy,60067237,NAVY / S0226011 / M/L,2,2026-08-20 12:08
S0226011NAVM/L,Safari by Vivo Jacket in Denim MG - Navy,safari-by-vivo-jacket-in-denim-mg-navy,60071437,NAVY / S0226011 / M/L,2,2026-08-20 12:08
S0226011NAVXS/S,Safari by Vivo Jacket in Denim - Navy,safari-by-vivo-jacket-in-denim-navy,60067236,NAVY / S0226011 / XS/S,2,2026-08-20 12:08
S0226011NAVXS/S,Safari by Vivo Jacket in Denim MG - Navy,safari-by-vivo-jacket-in-denim-mg-navy,60071436,NAVY / S0226011 / XS/S,2,2026-08-20 12:08
S0326014TAUF,Safari by Vivo Wide Kaftan in Cotton - Multicolor,safari-by-vivo-wide-kaftan-in-cotton-multicolor,70155503,TAUPE / S0326014 / F,2,2026-08-20 12:08
S0326014TAUF,Safari by Vivo Wide Kaftan in Cotton - Multicolour print,safari-by-vivo-wide-kaftan-in-cotton-taupe,70155496,TAUPE / S0326014 / F,2,2026-08-20 12:08
S0424041PR5L,Safari Men Drawstring Shorts - Tari Print,safari-men-drawstring-shorts-tari-print,70151435,Default Title,2,2026-08-20 12:08
S0424041PR5L,Safari Men's Kitenge Drawstring Shorts - Tari Print,safari-mens-kitenge-drawstring-shorts-tari-print,60037205,TARI PRINT / S0424041 / L,2,2026-08-20 12:08
S0824067PR2L,Safari by Vivo Savannah Midi Wrap Dress - Lashi,safari-savannah-midi-wrap-dress-ashai-copy,70151564,Default Title,2,2026-08-20 12:08
S0824067PR2L,Vivo Kitenge Wide Leg Pants - Neba Print,safari-savannah-kitenge-midi-wrap-dress-lashi-print,60042834,NEBA PRINT / VE0032 / L,2,2026-08-20 12:08
S0824069DHUNL/1X,Safari by Vivo Njano Drawstring Top in Cotton - Dark Hunters,safari-by-vivo-njano-drawstring-top-in-cotton-dark-hunters,60066489,DARK HUNTERS / S0824069 / L/1X,2,2026-08-20 12:08
S0824069DHUNL/1X,Safari by Vivo Njano Drawstring Top in Cotton MG - Dark Hunters,safari-by-vivo-njano-drawstring-top-in-cotton-mg-dark-hunters,60071450,DARK HUNTERS / S0824069 / L/1X,2,2026-08-20 12:08
S0824069DHUNS/M,Safari by Vivo Njano Drawstring Top in Cotton - Dark Hunters,safari-by-vivo-njano-drawstring-top-in-cotton-dark-hunters,60066488,DARK HUNTERS / S0824069 / S/M,2,2026-08-20 12:08
S0824069DHUNS/M,Safari by Vivo Njano Drawstring Top in Cotton MG - Dark Hunters,safari-by-vivo-njano-drawstring-top-in-cotton-mg-dark-hunters,60071449,DARK HUNTERS / S0824069 / S/M,2,2026-08-20 12:08
S0925008PR91X/2X,Safari Tafari High Slit Kimono - Black / Luena Print,safari-tafari-high-slit-kimono-black-luena-print,60060582,BLACK / LUENA PRINT / S0925008 / 1X/2X,2,2026-08-20 12:08
S0925008PR91X/2X,Safari Tafari High Slit Kimono - Rust / Mashi Print,safari-tafari-high-slit-kimono-rust-mashi-print,60060579,RUST / MASHI PRINT / S0925008 / 1X/2X,2,2026-08-20 12:08
SKH006024,Salok Rave Shirt Dress - Yellow,salok-rave-shirt-dress-yellow,70106649,YELLOW / 1221023 / S,4,2026-08-20 12:08
SKH006024,Salok Rave Shirt Dress - Yellow,salok-rave-shirt-dress-yellow,70094316,YELLOW / 1221023 / M,4,2026-08-20 12:08
SKH006024,Salok Rave Shirt Dress - Yellow,salok-rave-shirt-dress-yellow,70094317,YELLOW / 1221023 / L,4,2026-08-20 12:08
SKH006024,Salok Rave Shirt Dress - Yellow,salok-rave-shirt-dress-yellow,70094318,YELLOW / 1221023 / XL,4,2026-08-20 12:08
SZDH0004LBL30,Denim Haven High Rise Skinny Jeans - Light Blue,denim-haven-high-rise-skinny-jeans-light-blue,70156187,LIGHT BLUE / SZDH0004 / 30,2,2026-08-20 12:08
SZDH0004LBL30,SZD Denim Haven High Rise Skinny Jeans - Light Blue,denim-haven-high-rise-skinny-jeans-light-blue-copy,70096537,LIGHT BLUE / SZDH0004 / 30,2,2026-08-20 12:08
SZDH0004LBL32,Denim Haven High Rise Skinny Jeans - Light Blue,denim-haven-high-rise-skinny-jeans-light-blue,70156188,LIGHT BLUE / SZDH0004 / 32,2,2026-08-20 12:08
SZDH0004LBL32,SZD Denim Haven High Rise Skinny Jeans - Light Blue,denim-haven-high-rise-skinny-jeans-light-blue-copy,70096538,LIGHT BLUE / SZDH0004 / 32,2,2026-08-20 12:08
SZDH0004LBL34,Denim Haven High Rise Skinny Jeans - Light Blue,denim-haven-high-rise-skinny-jeans-light-blue,70156189,LIGHT BLUE / SZDH0004 / 34,2,2026-08-20 12:08
SZDH0004LBL34,SZD Denim Haven High Rise Skinny Jeans - Light Blue,denim-haven-high-rise-skinny-jeans-light-blue-copy,70096539,LIGHT BLUE / SZDH0004 / 34,2,2026-08-20 12:08
SZDH0004LBL36,Denim Haven High Rise Skinny Jeans - Light Blue,denim-haven-high-rise-skinny-jeans-light-blue,70156190,LIGHT BLUE / SZDH0004 / 36,2,2026-08-20 12:08
SZDH0004LBL36,SZD Denim Haven High Rise Skinny Jeans - Light Blue,denim-haven-high-rise-skinny-jeans-light-blue-copy,70096540,LIGHT BLUE / SZDH0004 / 36,2,2026-08-20 12:08
